Target	Prediction
14363.749759984017	13588.717189806699
10672.50024150014	11061.871168589594
15000.0	14739.86904976964
15000.0	13774.372613376381
15000.0	14382.441479730605
15000.0	14920.490176177027
15000.0	14611.097344607115
15000.0	15118.49532468319
15000.0	14292.013095754384
15000.0	15226.506482732297
15000.0	14990.47420936227
15000.0	14766.132918590309
15000.0	15034.662645423414
15000.0	14854.134872215986
15000.0	13101.619766479733
14747.000029689076	13787.110808080437
9955.000345039367	11927.81846280098
14820.499864840509	14065.831090676784
14576.00030566454	14440.836164849996
13790.750077182056	14430.718635380268
15000.0	15052.005260860922
14949.74962872863	15005.200676655772
15000.0	14389.659790062906
14798.500129282475	14203.48490110636
12815.999628418685	14043.354802089929
14085.500007629395	12701.245960217715
9796.000271451474	9933.590089768171
15000.0	14266.346235704423
15000.0	15738.56986426115
15000.0	14095.010741299393
14785.499943339826	14687.046948409083
14851.249957197906	13795.675211328267
14556.000135421753	14848.464418166877
13584.999624472857	11911.303980588913
11201.749646002056	11856.239143884184
10153.000223606825	9994.047579467297
9153.749829792978	10001.202650535106
6946.274892663956	8178.312406876684
8051.250043976307	9986.988120144606
6714.499976921082	8488.780305942893
9199.49967340827	9754.082426124813
12536.250202077626	12053.617169684174
15000.0	14465.869126558304
14758.999680125715	14842.934746766092
13994.50021172762	14401.279252064229
15000.0	14421.466128706932
15000.0	15006.512138545513
15000.0	14766.970085996389
9508.25032530427	8939.24525604248
6644.750079584122	5686.703077977896
6938.374878117443	6109.282147407532
6196.900148355961	6279.922386327386
15000.0	14139.823288673164
15000.0	15364.345493865014
15000.0	15547.995329332352
15000.0	14466.879449093343
15000.0	14811.187130296232
15000.0	15288.240050446988
15000.0	15088.488293683531
15000.0	14999.68832076788
15000.0	14188.152390861513
15000.0	14955.3824403584
15000.0	15776.42308114767
15000.0	14769.812088656425
15000.0	14956.25499163866
15000.0	14489.791636896134
15000.0	14878.097283518317
15000.0	14981.592856943607
15000.0	14827.077501195668
15000.0	15282.605733120443
15000.0	14910.753587991
15000.0	15002.909006166457
15000.0	15318.835808885098
15000.0	14854.298240315915
15000.0	14662.27823648453
15000.0	14867.605588400365
15000.0	14747.820634430649
14680.750124502181	15023.75236660242
15000.0	15064.772063803674
14823.999856990577	14862.0691413641
15000.0	14875.081372880937
15000.0	14937.268908172846
15000.0	14643.037690263987
15000.0	14707.760818922521
15000.0	14654.27846952677
14285.000313031673	13882.14587133527
12541.499813878538	13298.176434689762
9779.500093358754	10378.94131720066
15000.0	15583.754122006892
15000.0	14632.374345713855
15000.0	15221.752998018266
15000.0	15231.3126668334
15000.0	14804.378369486334
15000.0	14819.415763163568
15000.0	14998.844377726316
15000.0	14920.853801947833
15000.0	14844.030894017222
15000.0	14609.59541207552
15000.0	14958.86812838912
15000.0	14984.377643126249
15000.0	14022.246439021827
15000.0	14183.746722102165
15000.0	14572.98288933039
15000.0	15217.250964665414
15000.0	14976.432834100724
15000.0	14724.894142508507
15000.0	15139.61121623516
15000.0	15008.11419991255
15000.0	14845.61789841652
15000.0	15061.354132127763
15000.0	14566.670255607369
15000.0	14438.64387034774
15000.0	15361.465095937252
15000.0	15491.340476834775
15000.0	13871.365835285189
15000.0	15471.966676449778
15000.0	15052.015800738336
15000.0	14380.276287770273
15000.0	15081.759334802628
15000.0	14899.868153166772
15000.0	14592.325822931529
15000.0	14922.040291005374
15000.0	14744.033054196836
15000.0	14960.172061794998
15000.0	14685.816794145107
15000.0	15049.624754261971
15000.0	15311.561787772178
15000.0	14777.799810039996
15000.0	14925.32722706199
9094.749854570628	9873.981060200931
15000.0	14774.296053647995
15000.0	14847.445814299583
5398.450040896238	5407.697277630866
5813.149987322093	7584.88568879664
5810.149886500836	5232.655887041987
2608.8749896660447	3956.90573694855
2669.524996813573	4352.856370726228
15000.0	14707.513131803276
15000.0	14754.189731782677
15000.0	16574.871494698524
15000.0	15004.776070165633
15000.0	14445.575345444679
12381.749903297426	13051.026849192382
11334.500154888632	10343.241999548674
9319.749887681008	8315.41023877263
7937.499922674895	7766.5171377390625
15000.0	14489.291745567323
15000.0	14252.940264481305
15000.0	14946.243613791466
15000.0	14884.40238875747
15000.0	15118.85368051529
15000.0	14937.924639117718
15000.0	13939.802012187243
15000.0	7703.210869744421
8326.25012626946	7701.340417927504
15000.0	14815.161416929961
15000.0	14674.95469762087
13462.000007891656	12786.68898217678
9241.750277721883	12623.677732384207
9973.750034111737	10176.288082754612
9506.999844133854	9841.965429705382
15000.0	15320.808271658421
15000.0	15187.960645329953
15000.0	14947.270498991013
15000.0	15099.960197401047
15000.0	15305.828094458582
15000.0	14880.83915734291
15000.0	14525.062583816052
15000.0	14674.749922859668
15000.0	15581.534724962712
15000.0	14347.388105994465
15000.0	15115.911549019813
15000.0	14799.794275659322
15000.0	14955.523223006727
15000.0	14903.089591413736
15000.0	15049.865665745736
15000.0	15162.80798072815
15000.0	15131.393123245241
15000.0	14426.471817630529
15000.0	15220.947450244428
15000.0	14895.074014639857
15000.0	14970.773672777414
15000.0	14734.4846781075
15000.0	14500.108671188354
15000.0	14506.110378527643
12806.750133138896	10620.777298784258
11027.99976682067	9890.232798326015
9788.499642974139	9693.396823364496
10461.000285661221	9692.741092419625
10615.499831593039	10207.683366179466
9198.499890750647	10584.916118729114
11209.7501658082	11681.783092916012
12176.500094765426	11790.61335000992
12940.750370347501	13906.589352756739
15000.0	14476.663466727736
15000.0	14927.332062315942
15000.0	14070.791608697178
9898.999717789888	9704.808499211074
7753.000121378899	7244.027182477713
15000.0	14566.288561475278
15000.0	14864.678513872623
15000.0	15254.539545261861
14903.999785113334	14380.484073925018
15000.0	15326.99517970085
15000.0	15113.109447324277
15000.0	14871.335199308396
15000.0	15452.755491316319
15000.0	15182.797611093523
15000.0	14899.89901995063
15000.0	14948.946339499951
15000.0	14695.998315727713
15000.0	15855.728130209445
15000.0	14076.93409868479
15000.0	12023.876647013425
6709.85000886023	8564.67871605456
6965.4499410748485	7287.794023442269
6632.800117141009	7405.236489656568
5613.72496675849	5427.324035073817
4985.399961709976	4621.00967336595
7230.300121417642	6564.65190474689
8789.749893337488	9398.889310097695
12541.749759542941	12569.788844859602
11799.499972367288	13873.400031626225
15000.0	14421.40590083599
15000.0	14603.265462839605
15000.0	15412.866572391988
15000.0	13803.75327451825
15000.0	13669.917158257962
2835.650004007295	3310.6674573853616
3176.4749615199867	3251.7726927250624
3185.6749570183456	3347.329291699827
