Epoch	Train Loss	Test Loss
0	0.11642824113368988	0.047310732305049896
1	0.030996049665624185	0.02831541992385279
2	0.022392669182625554	0.02036985670301047
3	0.01797643838272918	0.018133473265069453
4	0.01812539354986733	0.014734040331942115
5	0.01597286064532541	0.013305129525675015
6	0.013991517203283451	0.012102325796149671
7	0.01283208760876386	0.01161969436163252
8	0.012788615333625958	0.011942612060176378
9	0.011691938797455458	0.011440636251460422
10	0.011363880287501075	0.011552080702544614
11	0.011261403294546264	0.01244886156002229
12	0.01169328614404159	0.011355653638020158
13	0.010536592681005243	0.010844968365166675
14	0.012298806758952282	0.010660684466446664
15	0.012855387481284283	0.010007312034510753
16	0.010646523126134915	0.009090968407690525
17	0.009370902974513314	0.009615366590547968
18	0.01000169740014133	0.010474945841865107
19	0.008877710223064892	0.010062759128314528
20	0.008539092006339203	0.007683340206064961
21	0.008366564588089074	0.022074017123403875
22	0.0075723338827845595	0.0071473124500533395
23	0.006673475092698243	0.007029823551420122
24	0.0062536290774698414	0.008053786311806603
25	0.006385188438885268	0.006711095656183633
26	0.005625810016811427	0.007005167828703468
27	0.006611083337615821	0.006496268726715987
28	0.004449195538957913	0.0064465968276966705
29	0.005406996581725599	0.006457393428056755
30	0.005560305748423118	0.006387743643823673
31	0.005626111244228447	0.006787674729077315
32	0.005091946039881025	0.006501139427365904
33	0.005039295866265006	0.006510051073167811
34	0.0075455814117698795	0.006553469596176662
35	0.006977043505425432	0.00618359045421874
36	0.005247815115754271	0.006406940212896602
37	0.006002409788336428	0.0067221001213924455
38	0.006854067559331833	0.006868097560734234
39	0.00545902666358632	0.007038623560220003
40	0.00588335644265282	0.007462003543464975
41	0.0062988976576542925	0.0058723794804377985
42	0.007253941500537275	0.006947619713504206
43	0.007106632437734376	0.005852392229082232
44	0.0037777514135952863	0.005549735093319958
45	0.005113015588860782	0.005522891302296723
46	0.004453727720482718	0.005297847314399074
47	0.004549264821911319	0.005369275935332884
48	0.004457491111852938	0.005275077228857713
49	0.0034122164278025074	0.0054012330550573424
50	0.003634225525837835	0.00537355879152363
51	0.00548612409537392	0.005383419624360447
52	0.004326065170711705	0.005345731206365268
53	0.003917822478494297	0.005337534223640846
54	0.0037651667038777043	0.0054700517741201275
55	0.004114814900926181	0.005300069180190225
56	0.004568819056398102	0.0056860466826368465
57	0.00416143531523024	0.005419547584923831
58	0.00592968508689886	0.00570196067829701
59	0.005262691957233031	0.008192381694574247
60	0.005354708099427323	0.00508847025709904
61	0.004155788850593602	0.005213816031093963
62	0.005616902362643963	0.0051546291956170035
63	0.005014244317343193	0.0049862645629962735
64	0.0030410915330451515	0.0047358386879998516
65	0.0034910818226524584	0.00487560612170703
66	0.003614726237997058	0.00483656924651851
67	0.003759009131629552	0.004815909754887054
68	0.003323794188742925	0.004731523486870256
69	0.0035996299910558654	0.004773349223383279
70	0.0036917633995125513	0.004801648430822586
71	0.004667719065244975	0.004753558526069603
72	0.0033624376380993496	0.004521354202138768
73	0.003230812716841077	0.004732772861395709
74	0.0035138767423285614	0.004663209399123761
75	0.003818940830006752	0.004653585788963193
76	0.00329496343398378	0.0046132242502856325
77	0.0037312133492724527	0.005808163391934199
78	0.0053852626615913494	0.004770515425744551
79	0.0034137915229491356	0.004834317697466097
80	0.003613544802647084	0.005112846683583815
81	0.003728718352725818	0.008845999117263338
82	0.004175822662156341	0.0056292387360537596
83	0.0029149212641641498	0.00441696626843292
84	0.002904624583953548	0.004364767513999885
85	0.0035994767815628577	0.004278382455760782
86	0.003102796896460599	0.00419167852008038
87	0.0023311109661812053	0.004215544946915047
88	0.0036002854411933747	0.004169178197943521
89	0.0022934042028195803	0.0042023045508275654
90	0.002412714909518226	0.004224601609166712
91	0.0028892390186055785	0.004199128799055788
92	0.003508945422557493	0.00419258346400139
93	0.0023723040233432713	0.00413676192031496
94	0.003284338628873229	0.00442423597401516
95	0.0029657800789988998	0.004209753570400856
96	0.002774325843867181	0.004318368356590244
97	0.002541887126253208	0.0049286368144252765
98	0.0032946704720546094	0.0053485677556388755
99	0.004059177978585164	0.004215329324572601
